2023-11-22 17:45:12,532 INFO c.e.d.Demo1Application [main] Starting Demo1Application using Java 17.0.7 with PID 19712 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
2023-11-22 17:45:12,550 INFO c.e.d.Demo1Application [main] No active profile set, falling back to 1 default profile: "default"
2023-11-22 17:45:14,594 INFO c.e.d.Demo1Application [main] Started Demo1Application in 2.615 seconds (process running for 5.447)
2023-11-22 17:45:14,594 INFO c.e.d.Demo1Application [main] ------------inf()-----------
20:28:29.714 [http-nio-8010-exec-5] INFO  com.example.demo.controller.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
20:28:29.724 [http-nio-8010-exec-5] INFO  com.example.demo.controller.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
20:32:34.327 [main] INFO  com.example.demo.Demo1Application - Starting Demo1Application using Java 17.0.7 with PID 18492 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
20:32:34.359 [main] INFO  com.example.demo.Demo1Application - No active profile set, falling back to 1 default profile: "default"
20:32:37.475 [main] INFO  com.example.demo.Demo1Application - Started Demo1Application in 4.101 seconds (process running for 9.151)
20:32:37.485 [main] INFO  com.example.demo.Demo1Application - ------------inf()-----------
20:33:05.351 [http-nio-8010-exec-1] INFO  com.example.demo.controller.PersonController - Person List [Person{firstName='****', lastName='Bar', age=25, creditCardNumber=123456789, address='ABC XYZ Street'}, Person{firstName='****', lastName='Qux', age=30, creditCardNumber=987654321, address='MNO PQR Street'}]
20:33:05.510 [http-nio-8010-exec-1] INFO  com.example.demo.controller.PersonController - Person List - JSON output [{"firstName":"****","lastName":"Bar","age":25,"creditCardNumber":123456789,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"Qux","age":30,"creditCardNumber":987654321,"address":"MNO PQR Street"}]
21:39:21.714 [main] INFO  com.example.demo.Demo1Application - Starting Demo1Application using Java 17.0.7 with PID 16308 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
21:39:21.730 [main] INFO  com.example.demo.Demo1Application - No active profile set, falling back to 1 default profile: "default"
21:39:23.769 [main] INFO  com.example.demo.Demo1Application - Started Demo1Application in 2.507 seconds (process running for 4.733)
21:39:23.789 [main] INFO  com.example.demo.Demo1Application - ------------inf()-----------
21:39:41.458 [http-nio-8010-exec-1] INFO  com.example.demo.controller.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
21:39:41.516 [http-nio-8010-exec-1] INFO  com.example.demo.controller.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
21:42:35.679 [main] INFO  com.example.demo.Demo1Application - Starting Demo1Application using Java 17.0.7 with PID 22416 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
21:42:35.695 [main] INFO  com.example.demo.Demo1Application - No active profile set, falling back to 1 default profile: "default"
21:42:37.240 [main] INFO  com.example.demo.Demo1Application - Started Demo1Application in 1.978 seconds (process running for 2.869)
21:42:37.249 [main] INFO  com.example.demo.Demo1Application - Person Data {}Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}
21:43:02.387 [http-nio-8010-exec-1] INFO  com.example.demo.controller.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
21:43:02.424 [http-nio-8010-exec-1] INFO  com.example.demo.controller.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
